Textbox3,ExecutionTime
8/21/2023 5:00:04 AM,8/24/2023 5:38:47 PM

MandantenName,FilialKennung,GeraeteName,GeraeteBaujahr,GeraeteSeriennummer,GeraeteIPAdresse,GeraeteFirmware,GeraeteLastConnectionDatum,Textbox15
BYD,1596,1596_BYD_Bydgoszcz_4_E3L_WTouch,-,10442625,197.77.98.201:8323/https://wiesheu-bottom.local,"22.8.0-1572 , 22.3.1",8/24/2023 9:20:40 AM,Verbindung ok
POZ,2055,2055_POZ_Lubon_4_E3S_WTouch,2023,10485938,197.90.194.201:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.3.1",8/24/2023 9:20:40 AM,Verbindung ok
KAT,1983,1983_KAT_KLobuck_1_E3S_WTouch,2023,10493059,197.91.170.200:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.3.1",8/24/2023 7:03:33 AM,Verbindung ok
LOD,1813,1813_LOD_Lowicz_4_E64L_IS600e,2018,10369588,197.83.114.203,"19.01.3856 , 19.1.3856",,Keine Verbindung
KAT,1836,1836_KAT_Zawiercie_4_E64L_IS600e,2018,10365960,197.83.138.203,"19.01.3856 , 19.1.3856",,Keine Verbindung
GDA,1757,1757_GDA_Gdansk_4_E3L_WTouch,2021,10443028,197.81.114.201:8323/https://wiesheu-bottom.local,"22.8.0-1572 , 22.3.1",8/24/2023 9:20:40 AM,Verbindung ok
SZC,1580,1580_SZC_Drezdenko_4_E64L_IS600e,2019,10395178,197.76.242.203,"22.01.3879 , 22.1.3879",8/24/2023 12:17:35 PM,Verbindung ok
WAR,2090,2090_WAR_Serock_2_E3L_WTouch,2022,10476670,197.90.178.200:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.3.1",8/24/2023 9:20:40 AM,Verbindung ok
KAT,1542,1542_KAT_Olesno_3_E64S_IS600e,2019,10372184,197.75.234.202,"19.01.3856 , 19.1.3856",8/24/2023 11:32:56 AM,Verbindung ok
WAR,1083,1083_WAR_Warszawa_1_E3S_WTouch,2021,10441640,197.65.194.200:8323/https://wiesheu-top.local,"22.8.0-1572 , 22.3.1",8/24/2023 7:03:33 AM,Verbindung ok
GDA,1955,1955_GDA_Gdansk_3_E64S_IS600e,2020,10423049,197.87.58.202,"19.01.3856 , 19.1.3856",8/24/2023 11:32:56 AM,Verbindung ok
LUB,1251,1251_LUB_Lancut_4_E3L_WTouch,2021,10439234,197.69.34.201:8323/https://wiesheu-bottom.local,"20.4.0-653 , 19.2.17",8/24/2023 9:20:40 AM,Verbindung ok
WAR,2058,2058_WAR_Parczew_1_E64S_IS600e,2020,10423687,197.88.2.200,"19.01.3856 , 19.1.3856",8/24/2023 11:32:56 AM,Verbindung ok
POZ,1864,1864_POZ_Gniezno_2_E64L_IS600e,2018,10379775,197.84.226.201,"22.01.3879 , 22.1.3879",8/24/2023 12:17:35 PM,Verbindung ok
GDA,1526,1526_GDA_Gdansk_2_E3L_WTouch,2021,10442252,197.75.122.200:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.3.1",8/24/2023 9:20:40 AM,Verbindung ok
GDA,1777,1777_GDA_Kowale_2_E64L_IS600e,2017,10348987,197.81.226.201,"19.01.3856 , 19.1.3856",8/24/2023 12:18:00 PM,Verbindung ok
WRO,1915,1915_WRO_WrocLaw_3_E3S_WTouch,2020,10435208,197.87.226.201:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.3.1",8/24/2023 7:03:33 AM,Verbindung ok
KAT,1643,1643_KAT_Opole_3_E64S_IS600e,2019,10395199,197.78.138.202,"19.01.3856 , 19.1.3856",8/24/2023 11:32:56 AM,Verbindung ok
GDA,1381,1381_GDA_Elblag_3_E3S_WTouch,2021,10443065,197.71.226.201:8323/https://wiesheu-top.local,"21.2.0-811 , 19.2.17",8/24/2023 7:03:33 AM,Verbindung ok
WAR,1868,1868_WAR_Warszawa_4_E3L_WTouch,2020,10435951,197.88.58.201:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.3.1",8/24/2023 9:20:40 AM,Verbindung ok
POZ,1863,1863_POZ_Wolsztyn_3_E64S_IS600e,2018,10380691,197.84.98.202,"22.01.3879 , 22.1.3879",8/24/2023 11:32:56 AM,Verbindung ok
WRO,1311,1311_WRO_WrocLaw_4_E3L_WTouch,2021,10443348,197.70.106.201:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.3.1",8/24/2023 9:20:40 AM,Verbindung ok
KRA,1665,1665_KRA_Tarnow_4_E3L_WTouch,2021,10439360,197.79.26.201:8323/https://wiesheu-bottom.local,"21.6.0-1062 , 21.3.1",8/24/2023 9:20:40 AM,Verbindung ok
WAR,2058,2058_WAR_Parczew_4_E64L_IS600e,2020,10423689,197.88.2.203,"17.01.3514 , 19.1.3856",8/24/2023 12:18:00 PM,Verbindung ok
SZC,1454,1454_SZC_KoLobrzeg_4_E3L_WTouch,2021,10440502,197.73.162.201:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 19.2.17",8/24/2023 9:24:13 AM,Verbindung ok
KAT,1877,1877_KAT_Tychy_3_E64S_IS600e,2018,10390808,197.84.154.202,"19.01.3856 , 19.1.3856",8/24/2023 11:33:54 AM,Verbindung ok
KAT,1940,1940_KAT_MysLowice_4_E64L_IS600e,2020,10426043,197.87.114.203,"19.01.3856 , 19.1.3856",8/24/2023 12:18:00 PM,Verbindung ok
LOD,2124,2124_LOD_Lodz_1_E3S_WTouch,2023,10493828,197.91.186.200:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.3.1",8/24/2023 7:08:05 AM,Verbindung ok
KAT,1938,1938_KAT_Opole_3_E64S_IS600e,2017,10363763,197.83.226.202,"19.01.3856 , 19.1.3856",8/24/2023 11:33:54 AM,Keine Verbindung
KAT,1536,1536_KAT_Chorzow_3_E64S_IS600e,2017,10362865,197.75.186.202,"19.01.3856 , 19.1.3856",8/24/2023 11:33:55 AM,Verbindung ok
BYD,1391,1391_BYD_InowrocLaw_1_E3S_WTouch,2021,10442513,197.72.34.201:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.1.0",8/24/2023 7:08:05 AM,Verbindung ok
BYD,1632,1632_BYD_WLocLawek _3_E3S_WTouch,2021,10461977,197.78.66.201:8323/https://wiesheu-top.local,"22.8.0-1572 , 22.3.1",8/24/2023 7:08:05 AM,Verbindung ok
SZC,1443,1443_SZC_DarLowo_2_E3L_WTouch,2021,10441662,197.73.90.200:8323/https://wiesheu-bottom.local,"21.2.0-811 , 19.2.17",8/24/2023 9:24:13 AM,Verbindung ok
WAR,1902,1902_WAR_Chyliczki_4_E3L_WTouch,2021,10439395,197.88.66.201:8323/https://wiesheu-bottom.local,"20.4.0-653 , 19.2.17",8/24/2023 9:24:13 AM,Verbindung ok
WAR,1370,1370_WAR_Nidzica_1_E3S_WTouch,2021,10441546,197.71.162.200:8323/https://wiesheu-top.local,"21.6.0-1062 , 21.1.0",8/24/2023 7:08:05 AM,Verbindung ok
POZ,1233,1233_POZ_Sulechow_4_E64L_IS600e,2018,10373624,197.68.194.203,"19.01.3856 , 19.1.3856",8/24/2023 12:18:00 PM,Verbindung ok
LUB,1464,1464_LUB_Lublin_3_E64S_IS600e,2017,10347310,197.73.218.202,"18.03.3813 , 18.3.3813",8/24/2023 11:33:56 AM,Verbindung ok
GDA,1526,1526_GDA_Gdansk_1_E3S_WTouch,2021,10442241,197.75.122.200:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.3.1",8/24/2023 7:08:05 AM,Verbindung ok
WAR,1304,1304_WAR_BiaLystok_4_E3L_WTouch,2021,10441618,197.70.50.201:8323/https://wiesheu-bottom.local,"22.8.0-1572 , 22.3.1",8/24/2023 9:24:13 AM,Verbindung ok
KRA,1355,1355_KRA_Krakow_4_E64L_IS600e,2018,10383296,197.71.90.203,"18.04.3839 , 18.4.3839",8/24/2023 12:18:00 PM,Verbindung ok
LOD,1185,1185_LOD_Konin_3_E3S_WTouch,2021,10441496,197.67.226.201:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.3.1",8/24/2023 7:08:05 AM,Verbindung ok
WAR,1609,1609_WAR_BiaLystok_2_E64L_IS600e,2019,10396922,197.77.194.201,"19.01.3856 , 19.1.3856",8/19/2023 1:33:25 PM,Keine Verbindung
SZC,1086,1086_SZC_Szczecin_4_E3L_WTouch,2021,10441190,197.65.210.201:8323/https://wiesheu-bottom.local,"21.2.0-811 , 19.2.17",8/24/2023 9:24:13 AM,Verbindung ok
WAR,1980,1980_WAR_BiaLystok_1_E64S_IS600e,2020,10425432,197.87.186.200,"19.01.3856 , 19.1.3856",8/24/2023 11:33:57 AM,Verbindung ok
SZC,2095,2095_SZC_Stargard_1_E3S_WTouch,2022,10473923,197.90.114.200:8323/https://wiesheu-top.local,"22.8.0-1572 , 22.3.1",8/24/2023 7:08:05 AM,Verbindung ok
